No.,Batch Name,トリガーのサービス名,サブサービス,サービス3,サービス4,　リポジトリ,SQL No,SQL,対象レコード数,実行時間 ３回平均(Mysql5.7),実行時間 ３回平均(Mysql8.0),"ステータス
手動実行","ステータス
定期実行",手動実行コマンド,5系終了,8系終了(SQL実行のみ),エラーメモ,ローカル起動メモ,,
23,,,,,,,SQL23,"select
    wallsettin0_.id as id1_46_,
    wallsettin0_.created_at as created_2_46_,
    wallsettin0_.created_user as created_3_46_,
    wallsettin0_.updated_at as updated_4_46_,
    wallsettin0_.updated_user as updated_5_46_,
    wallsettin0_.display_menu as display_6_46_,
    wallsettin0_.link_type as link_typ7_46_,
    wallsettin0_.menu_link as menu_lin8_46_,
    wallsettin0_.menu_title as menu_tit9_46_,
    wallsettin0_.pickup_id as pickup_10_46_,
    wallsettin0_.position as positio11_46_,
    wallsettin0_.wall_setting_id as wall_se12_46_ 
from
    offerwall_production.wall_setting_additional_menus wallsettin0_ 
where
    wallsettin0_.wall_setting_id = 1;",28 row(s),,0.024 sec,,,,,,,,,
24,,,,,,,SQL24,"select
    customicon0_.id as id1_27_,
    customicon0_.created_at as created_2_27_,
    customicon0_.created_user as created_3_27_,
    customicon0_.updated_at as updated_4_27_,
    customicon0_.updated_user as updated_5_27_,
    customicon0_.default_icon_id as default_6_27_,
    customicon0_.display_icon as display_7_27_,
    customicon0_.enable_color as enable_c8_27_,
    customicon0_.feature_type as feature_9_27_,
    customicon0_.icon_type as icon_ty10_27_,
    customicon0_.linkable_type as linkabl11_27_,
    customicon0_.name as name12_27_,
    customicon0_.pickup_id as pickup_13_27_,
    customicon0_.position as positio14_27_,
    customicon0_.position_type as positio15_27_,
    customicon0_.url as url16_27_,
    customicon0_.wall_setting_display_fixed_id as wall_se17_27_,
    customicon0_.wall_setting_id as wall_se18_27_ 
from
    offerwall_production.custom_icons customicon0_ 
where
    customicon0_.wall_setting_id = 1;",77 row(s),,0.506 sec,,,,,,,,,
25,,,,,,,SQL25,"SELECT
    d.id as distribution_id,
    d.`name` AS distribution_name,
    d.platform AS platform,
    SUM(imp) AS imp,
    SUM(click) AS click,
    COALESCE(SUM(TRUNCATE(ordered_pay * a_cr.ttm / m_cr.ttm, m_currency.decimal_point)), 0) AS total_pay
FROM
    smaad_main.base_report
INNER JOIN
    smaad_main.ad ON  smaad_main.base_report.ad_id = ad.id
INNER JOIN
    smaad_main.distribution d ON ad.distribution_id = d.id
INNER JOIN
    smaad_main.campaign ON d.campaign_id = campaign.id
    AND campaign.campaign_type IN (0, 1, 3)
INNER JOIN
    smaad_main.product ON smaad_main.campaign.product_id = product.id
INNER JOIN
    smaad_main.account a_ac ON smaad_main.product.account_id = a_ac.id
INNER JOIN
    smaad_main.zone FORCE INDEX (media_id) ON smaad_main.base_report.zone_id = zone.id
INNER JOIN
    smaad_main.media FORCE INDEX (account_id) ON smaad_main.zone.media_id = media.id
INNER JOIN
    smaad_main.account m_ac FORCE INDEX (PRIMARY) ON smaad_main.media.account_id = m_ac.id
INNER JOIN
    smaad_main.m_timezone tz ON m_ac.timezone_id = tz.id
INNER JOIN
    smaad_main.m_currency ON m_ac.currency_id = m_currency.id
INNER JOIN
    smaad_main.base_report_2_currency_rate br2cr FORCE INDEX (PRIMARY) ON smaad_main.base_report.id = br2cr.base_report_id
INNER JOIN
    smaad_main.currency_rate a_cr ON br2cr.ad_currency_rate_id = a_cr.id
INNER JOIN
    smaad_main.currency_rate m_cr ON br2cr.md_currency_rate_id = m_cr.id
WHERE
     smaad_main.base_report.deleted IS NULL
    AND smaad_main.media.account_id = 684039957
    AND '2024-11-01 09:00:00' <= (base_report.target_datetime + INTERVAL tz.time_diff HOUR)
    AND (base_report.target_datetime + INTERVAL tz.time_diff HOUR) <= '2024-11-08 09:00:00'
GROUP BY
    d.id
ORDER BY
    distribution_name ASC;",0 row(s),,0.234 sec,,,,,,,,,
26,,,,,,,SQL26,"SELECT
    * 
FROM
    offerwall_production.popup_contents 
WHERE
    popup_id = NULL 
    OR wall_setting_id = 1;",0 row(s),,0.181 sec,,,,,,,,,
27,,,,,,,SQL27,"SELECT
    popupconte0_.id as id1_33_,
    popupconte0_.created_at as created_2_33_,
    popupconte0_.created_user as created_3_33_,
    popupconte0_.updated_at as updated_4_33_,
    popupconte0_.updated_user as updated_5_33_,
    popupconte0_.ad_id as ad_id6_33_,
    popupconte0_.ad_size_id as ad_size_7_33_,
    popupconte0_.banner_type as banner_t8_33_,
    popupconte0_.day_of_month as day_of_m9_33_,
    popupconte0_.day_of_week as day_of_10_33_,
    popupconte0_.display_frequency_type as display11_33_,
    popupconte0_.display_schedule_type as display12_33_,
    popupconte0_.end_at as end_at13_33_,
    popupconte0_.hide_at as hide_at14_33_,
    popupconte0_.link_type as link_ty15_33_,
    popupconte0_.number_days as number_16_33_,
    popupconte0_.number_times as number_17_33_,
    popupconte0_.pickup_id as pickup_18_33_,
    popupconte0_.popup_content_id as popup_c19_33_,
    popupconte0_.position as positio20_33_,
    popupconte0_.show_at as show_at21_33_,
    popupconte0_.start_at as start_a22_33_,
    popupconte0_.title as title23_33_,
    popupconte0_.url as url24_33_,
    popupconte0_.wall_setting_id as wall_se25_33_ 
FROM
    offerwall_production.popup_content_details popupconte0_
WHERE
    popupconte0_.popup_content_id IN (NULL)
ORDER BY
    popupconte0_.position;",0 row(s),,0.040 sec,,,,,,,,,
28,,,,,,,SQL28,"SELECT
    * 
FROM
    offerwall_production.zone_reports 
WHERE
    zone_id = 123332994;",1 row(s),,0.024 sec,,,,,,,,,
29,,,,,,,SQL29,"SELECT
    * 
FROM
    offerwall_production.block_reports 
WHERE
    zone_report_id = '0fc204c3-9d2c-11ef-9d65-d74c2fc8fc8a';",0 row(s),,0.025 sec,,,,,,,,,
30,,,,,,,SQL30,"SELECT
    * 
FROM
    offerwall_production.distribution_reports 
WHERE
    block_report_id IN (
        '0fc81f44-9d2c-11ef-9d65-d74c2fc8fc8a',
        '0fc81f45-9d2c-11ef-9d65-d74c2fc8fc8a',
        '0fc81f46-9d2c-11ef-9d65-d74c2fc8fc8a'
    );",0 row(s),,0.027 sec,,,,,,,,,
31,,,,,,,SQL31,"SELECT
    zonereport0_.id as id1_49_0_,
    zonereport0_.created_at as created_2_49_0_,
    zonereport0_.publish_country as publish_3_49_0_,
    zonereport0_.pv as pv4_49_0_,
    zonereport0_.target_date as target_d5_49_0_,
    zonereport0_.top_pv as top_pv6_49_0_,
    zonereport0_.updated_at as updated_7_49_0_,
    zonereport0_.uu as uu8_49_0_,
    zonereport0_.zone_id as zone_id9_49_0_,
    zonereport0_.zone_name as zone_na10_49_0_ 
FROM
    offerwall_production.zone_reports zonereport0_ 
WHERE
    zonereport0_.id = '0fc204c3-9d2c-11ef-9d65-d74c2fc8fc8a';",0 row(s),,0.038 sec,,,,,,,,,
32,,,,,,,SQL32,"SELECT
    dbr.zone_id,
    dbr.distribution_id,
    SUM(dbr.ordered_cv) AS ordered_cv,
    SUM(dbr.ordered_gross) AS ordered_gross,
    SUM(dbr.ordered_pay) AS ordered_pay,
    SUM(dbr.total_gross) AS total_gross,
    SUM(dbr.total_pay) AS total_pay 
FROM
    smaad_main.daily_base_report AS dbr 
WHERE
    deleted IS NULL 
    AND DATE(dbr.target_date) = DATE(NOW() + INTERVAL 9 HOUR - INTERVAL 2 HOUR) 
GROUP BY
    dbr.zone_id,
    dbr.distribution_id;",0 row(s),,6.550 sec,,,,,,,,,
33,,,,,,,SQL33,"SELECT
    z.id,
    z.zone_id,
    z.zone_name,
    z.publish_country,
    z.pv,
    z.top_pv,
    z.uu,
    z.target_date 
FROM
    offerwall_production.zone_reports z 
WHERE
    (
        z.updated_at >= DATE_SUB(DATE_FORMAT(NOW() - INTERVAL 2 HOUR, '%Y-%m-%d %H:00:00'), INTERVAL 3 HOUR) 
        AND z.updated_at <= DATE_FORMAT(NOW() - INTERVAL 2 HOUR, '%Y-%m-%d %H:00:00')
    ) 
UNION
(
    SELECT
        z.id,
        z.zone_id,
        z.zone_name,
        z.publish_country,
        z.pv,
        z.top_pv,
        z.uu,
        z.target_date 
    FROM
        offerwall_production.zone_reports z 
    JOIN
        offerwall_production.block_reports b 
            ON z.id = b.zone_report_id 
    WHERE
        b.updated_at >= DATE_SUB(DATE_FORMAT(NOW() - INTERVAL 2 HOUR, '%Y-%m-%d %H:00:00'), INTERVAL 3 HOUR) 
        AND b.updated_at <= DATE_FORMAT(NOW() - INTERVAL 2 HOUR, '%Y-%m-%d %H:00:00')
) 
UNION
(
    SELECT
        z.id,
        z.zone_id,
        z.zone_name,
        z.publish_country,
        z.pv,
        z.top_pv,
        z.uu,
        z.target_date 
    FROM
        offerwall_production.zone_reports z 
    JOIN
        offerwall_production.block_reports b 
            ON z.id = b.zone_report_id 
    JOIN
        offerwall_production.distribution_reports d 
            ON b.id = d.block_report_id 
    WHERE
        d.updated_at >= DATE_SUB(DATE_FORMAT(NOW() - INTERVAL 2 HOUR, '%Y-%m-%d %H:00:00'), INTERVAL 3 HOUR) 
        AND d.updated_at <= DATE_FORMAT(NOW() - INTERVAL 2 HOUR, '%Y-%m-%d %H:00:00')
);",576 row(s),,2.521 sec,,,,,,,,,
